Department,Sub_Department,May_Wages,June_Wages,July_Wages,Aug_Wages,Total_4Month_Wages,Avg_Monthly_Wages
Administration,Transport,23254,94663.54,101282.35,102623.65,321823.54,13409.31
Production,"Helmet Finishing",25451.76,90791.31,87622.35,91332.77,295198.18,9224.94
Production,"Fabric Cutting",0,69238.19,76092.88,82283.87,227614.94,14225.93
Production,Molding,29166,57684.85,65279.15,63690.96,215820.96,17985.08
Administration,Pantry,43610.52,44449.54,50451.5,37423.71,175935.27,14661.27
Administration,"House Keeping",12750.12,43064.42,46087.35,48908.79,150810.68,5386.1
Production,"Water Jet",0,40247,43040.35,43808.48,127095.83,15886.98
"Quality Control",Process-Q.C.,26556.4,27360,28454,23802,106172.4,13271.55
"Quality Control","Quality Control",16454.4,24370.08,25918.77,29152,95895.25,7991.27
Maintenance,Electrical,0,31783,31137.69,32762.31,95683,11960.38
Administration,Legal,23701,23701,23701,19143.12,90246.12,22561.53
Store,"Rm Store",23808,20836.65,23054.85,20755.38,88454.88,11056.86
Production,Coating,22184.52,21235.96,21684.35,21701.94,86806.77,10850.85
Store,"Maint. Store",0,23002.88,22696.1,24501.54,70200.52,8775.06
Utility,Boiler,17086.08,17113.46,17113.46,17113.46,68426.46,17106.62
Administration,"Human Resource",16016.88,17500.96,16100.88,16800.92,66419.65,16604.91
Accounts,Navision,16062.28,16787.5,16787.5,16116,65753.28,16438.32
Production,Scada,15037,15037,15037,15037,60148,15037
Administration,"Miscellaneous Work",14076,13534.62,14076,13534.62,55221.23,13805.31
Maintenance,Mechanical,0,16302.46,15720.23,15720.23,47742.92,11935.73
Accounts,Accounts,0,12511.02,13787.65,12766.35,39065.02,9766.25
Production,Pantry,0,0,11326.92,11326.92,22653.85,11326.92
Administration,Bunching,0,0,9865.38,10961.54,20826.92,10413.46
Administration,Navision,0,5152.4,0,0,5152.4,2576.2
Production,Rolling,4861.48,0,0,0,4861.48,2430.74
Maintenance,"Helmet Finishing",0,0,0,0,0,0
